상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번주소,도로명코드,도로명,건물관리번호,도로명주소,우편번호,층정보
MA010120220806881427,뚜레쥬르비하,계룡점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,43,충청북도,43113,청주시 흥덕구,43113760,강서1동,4311313800,비하동,4.31131380010755e+18,1,대지,충청북도 청주시 흥덕구 비하동 755,431134511056,충청북도 청주시 흥덕구 2순환로1168번길,4.31131380010755e+24,충청북도 청주시 흥덕구 2순환로1168번길 26,28364.0,1.0
MA010120220810042302,세븐일레븐청주현도,산단점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43112,청주시 서원구,43112320,현도면,4311232026,현도면,4.3112320261048095e+18,1,대지,충청북도 청주시 서원구 현도면 선동리 481-4,431123236067,충청북도 청주시 서원구 현도면 청남로,4.31123202610481e+24,충청북도 청주시 서원구 현도면 청남로 332-1,28215.0,1.0
MA010120220813705661,지에스25가경,휴먼시아점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4.3113113001201e+18,1,대지,충청북도 청주시 흥덕구 가경동 2010,431134511591,충청북도 청주시 흥덕구 서현중로32번길,4.3113113001201e+24,충청북도 청주시 흥덕구 서현중로32번길 21,28384.0,1.0
MA010120220806975026,손문갈매기,연수점,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,43,충청북도,43130,충주시,43130630,연수동,4313011800,연수동,4.3130118001073e+18,1,대지,충청북도 충주시 연수동 730-11,431303238046,충청북도 충주시 연원로,4.3130118001073e+24,충청북도 충주시 연원로 33,27347.0,1.0
MA010120220812555633,미용가로데오,2호점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43111,청주시 상당구,43111545,성안동,4311110200,북문로1가,4.31111020010132e+18,1,대지,충청북도 청주시 상당구 북문로1가 132-1,431114508336,충청북도 청주시 상당구 상당로91번길,4.31111020010132e+24,충청북도 청주시 상당구 상당로91번길 39-5,28525.0,2.0
MA010120220800046507,뉴에라/현대,충청점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,43,충청북도,43113,청주시 흥덕구,43113741,복대1동,4311311400,복대동,4.3113114001338e+18,1,대지,충청북도 청주시 흥덕구 복대동 3380,431133236058,충청북도 청주시 흥덕구 직지대로,4.31131140010584e+24,충청북도 청주시 흥덕구 직지대로 308,28424.0,1.0
MA010120220806967460,킹콩부대찌개충북;92막창,혁신점,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,43,충청북도,43770,음성군,43770330,맹동면,4377033028,맹동면,4.3770330281137695e+18,1,대지,충청북도 음성군 맹동면 두성리 1377,437703247042,충청북도 음성군 맹동면 원중로,4.37703302811377e+24,충청북도 음성군 맹동면 원중로 1406,27738.0,1.0
MA010120220802515528,용두,직영점,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,43,충청북도,43150,제천시,43150560,용두동,4315011100,하소동,4.31501110010079e+18,1,대지,충청북도 제천시 하소동 79-8,431504517625,충청북도 제천시 용두대로15길,4.31501110010079e+24,충청북도 제천시 용두대로15길 4,27162.0,1.0
MA010120220813147520,예랑헤어샵예랑,대리점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43111,청주시 상당구,43111670,영운동,4311111900,영운동,4.31111190010174e+18,1,대지,충청북도 청주시 상당구 영운동 174-1,431113236037,충청북도 청주시 상당구 영운로,4.31111190010174e+24,충청북도 청주시 상당구 영운로 18,28713.0,1.0
MA010120220812657890,떡군이네떡볶이,복대점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43113,청주시 흥덕구,43113741,복대1동,4311311400,복대동,4.3113114001296097e+18,1,대지,충청북도 청주시 흥덕구 복대동 2961,431133237081,충청북도 청주시 흥덕구 진재로,4.31131140012961e+24,충청북도 청주시 흥덕구 진재로 32,28420.0,1.0
MA010120220805301239,굿모닝안경.콘택트수곡.,분평점,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,43,충청북도,43112,청주시 서원구,43112570,수곡1동,4311210700,수곡동,4.31121070010074e+18,1,대지,충청북도 청주시 서원구 수곡동 74-22,431123236067,충청북도 청주시 서원구 청남로,4.31131090010074e+24,충청북도 청주시 서원구 청남로 2024-1,28709.0,1.0
MA010120220806334540,크린토피아청주율량현대,삼성점,S2,수리·개인,S209,세탁,S20901,세탁소,S96912,가정용 세탁업,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4.31141030011195e+18,1,대지,충청북도 청주시 청원구 율량동 1195,431144508606,충청북도 청주시 청원구 주성로132번길,4.31111150011195e+24,충청북도 청주시 청원구 주성로132번길 38,28339.0,1.0
MA010120220804469394,교동면옥청주,죽림점,I2,음식,I201,한식,I20106,냉면/밀면,I56111,한식 일반 음식점업,43,충청북도,43112,청주시 서원구,43112310,남이면,4311231034,남이면,4.3112310341000694e+18,1,대지,충청북도 청주시 서원구 남이면 석판리 7-1,431123240091,충청북도 청주시 서원구 남이면 대림로,4.37103503400007e+24,충청북도 청주시 서원구 남이면 대림로 380,28619.0,1.0
MA010120220811929127,이디야커피충북,혁신점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43770,음성군,43770330,맹동면,4377033031,맹동면,4.37703303110464e+18,1,대지,충청북도 음성군 맹동면 동성리 464,437703000235,충청북도 음성군 맹동면 대하로,4.37703302810523e+24,충청북도 음성군 맹동면 대하로 265,27738.0,1.0
MA010120220806314708,에듀케어,코리아,P1,교육,P107,교육 지원,P10701,교육컨설팅업,P85701,교육관련 자문 및 평가업,43,충청북도,43113,청주시 흥덕구,43113700,운천.신봉동,4311310400,운천동,4.3113104001092895e+18,1,대지,충청북도 청주시 흥덕구 운천동 929,431134511856,충청북도 청주시 흥덕구 직지대로743번길,4.31131040010929e+24,충청북도 청주시 흥덕구 직지대로743번길 21-2,28471.0,2.0
MA0101202302A0077867,굽네치킨,금천점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43111,청주시 상당구,43111680,금천동,4311112000,금천동,4.31111200010096e+18,1,대지,충청북도 청주시 상당구 금천동 96-15,431113236035,충청북도 청주시 상당구 수영로,4.31111200010096e+24,충청북도 청주시 상당구 수영로 236,28732.0,1.0
MA0101202302A0052706,전일맥주,봉명점,I2,음식,I211,주점,I21103,생맥주 전문,I56111,한식 일반 음식점업,43,충청북도,43113,청주시 흥덕구,43113756,봉명2.송정동,4311311500,봉명동,4.3113115001284705e+18,1,대지,충청북도 청주시 흥덕구 봉명동 2847-1,431134511762,충청북도 청주시 흥덕구 월명로178번길,4.31131150012847e+24,충청북도 청주시 흥덕구 월명로178번길 48,28463.0,1.0
MA0101202302A0041590,텀브커피,하이닉스점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43113,청주시 흥덕구,43113770,강서2동,4311313600,외북동,4.31131360010322e+18,1,대지,충청북도 청주시 흥덕구 외북동 322,431133351022,충청북도 청주시 흥덕구 엘지로,4.31131360010322e+24,충청북도 청주시 흥덕구 엘지로 35,28356.0,1.0
MA0101202301A0061095,더맛있는족발보쌈,연수점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43130,충주시,43130630,연수동,4313011800,연수동,4.31301180010856e+18,1,대지,충청북도 충주시 연수동 856,431304515019,충청북도 충주시 연수상가2길,4.31301180010856e+24,충청북도 충주시 연수상가2길 19,27347.0,1.0
MA0101202302A0008049,진국본가,가경점,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4.3113113001161e+18,1,대지,충청북도 청주시 흥덕구 가경동 1610,431134511554,충청북도 청주시 흥덕구 서경로8번길,4.3113113001161e+24,충청북도 청주시 흥덕구 서경로8번길 2,28413.0,1.0
MA0101202302A0089421,로꼬브리또,충북대점,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,43,충청북도,43112,청주시 서원구,43112530,사창동,4311210200,사창동,4.3112102001045294e+18,1,대지,충청북도 청주시 서원구 사창동 453,431124512175,충청북도 청주시 서원구 1순환로672번길,4.31131020010453e+24,충청북도 청주시 서원구 1순환로672번길 45,28643.0,2.0
MA0101202301A0029607,이마트24R청주봉명,센터점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43113,청주시 흥덕구,43113756,봉명2.송정동,4311311500,봉명동,4.3113115001237094e+18,1,대지,충청북도 청주시 흥덕구 봉명동 2371-2,431134511767,충청북도 청주시 흥덕구 월명로236번길,4.31131150012371e+24,충청북도 청주시 흥덕구 월명로236번길 91,28461.0,1.0
MA0101202301A0060984,춘리마라탕청주,산남점,I2,음식,I202,중식,I20202,마라탕/훠궈,I56121,중식 음식점업,43,충청북도,43112,청주시 서원구,43112550,산남동,4311210400,산남동,4.3112104001056696e+18,1,대지,충청북도 청주시 서원구 산남동 567,431124511285,충청북도 청주시 서원구 두꺼비로78번길,4.31131060010567e+24,충청북도 청주시 서원구 두꺼비로78번길 21,28625.0,1.0
MA0101202302A0090690,강아지고양이편의점,진천점,G2,소매,G220,애완동물·용품 소매,G22001,애완동물/애완용품 소매업,G47852,애완용 동물 및 관련용품 소매업,43,충청북도,43750,진천군,43750370,광혜원면,4375037027,광혜원면,4.3750370271052897e+18,1,대지,충청북도 진천군 광혜원면 광혜원리 529-14,437504535424,충청북도 진천군 광혜원면 화랑1길,4.37503702710529e+24,충청북도 진천군 광혜원면 화랑1길 14,27802.0,1.0
MA0101202302A0006259,청주입이즐거운그만두,비하점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43113,청주시 흥덕구,43113760,강서1동,4311313800,비하동,4.3113138001076495e+18,1,대지,충청북도 청주시 흥덕구 비하동 765,431133237035,충청북도 청주시 흥덕구 비하로,4.31131380010765e+24,충청북도 청주시 흥덕구 비하로 28,28365.0,1.0
MA0101202302A0090103,코리아세븐청주뉴,터미널점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4.31131130011395e+18,1,대지,충청북도 청주시 흥덕구 가경동 1395,431134512062,충청북도 청주시 흥덕구 풍산로25번길,4.31131130011395e+24,충청북도 청주시 흥덕구 풍산로25번길 12,28395.0,1.0
MA0101202302A0017344,달쥬과일상점청주,29호점,G2,소매,G205,식료품 소매,G20506,채소/과일 소매업,G47215,채소; 과실 및 뿌리작물 소매업,43,충청북도,43113,청주시 흥덕구,43113756,봉명2.송정동,4311311500,봉명동,4.31131150010685e+18,1,대지,충청북도 청주시 흥덕구 봉명동 685-19,431134512148,충청북도 청주시 흥덕구 1순환로549번길,4.31131150010685e+24,충청북도 청주시 흥덕구 1순환로549번길 65,28476.0,1.0
MA0101202302A0105411,카페인중독청주,용암점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43111,청주시 상당구,43111720,용암1동,4311112400,용암동,4.3111124001307295e+18,1,대지,충청북도 청주시 상당구 용암동 3073,431114857347,충청북도 청주시 상당구 중고개로141번길,4.31111240010186e+24,충청북도 청주시 상당구 중고개로141번길 13-2,28808.0,1.0
MA0101202302A0052815,꼬꾸가경,복대점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4.3113113001078006e+18,1,대지,충청북도 청주시 흥덕구 가경동 780,431134511075,충청북도 청주시 흥덕구 가경로173번길,4.3113113001078e+24,충청북도 청주시 흥덕구 가경로173번길 32,28390.0,1.0
MA0101202302A0111300,이비가짬뽕,진천점,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,43,충청북도,43750,진천군,43750250,진천읍,4375025022,진천읍,4.3750250221067494e+18,1,대지,충청북도 진천군 진천읍 신정리 675-48,437504535125,충청북도 진천군 진천읍 문화3길,4.37502502210675e+24,충청북도 진천군 진천읍 문화3길 81,27841.0,1.0
MA0101202302A0063634,청주전자담배모충점,백화점,G2,소매,G207,담배 소매,G20701,담배/전자담배 소매업,G47222,담배 소매업,43,충청북도,43112,청주시 서원구,43112540,모충동,4311210300,모충동,4.3112103001012096e+18,1,대지,충청북도 청주시 서원구 모충동 121-1,431123236067,충청북도 청주시 서원구 청남로,4.31131030010121e+24,충청북도 청주시 서원구 청남로 2133,28676.0,1.0
MA0101202302A0018193,상하이양꼬치,테크노점,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,43,충청북도,43113,청주시 흥덕구,43113770,강서2동,4311313400,송절동,4.3113134001070095e+18,1,대지,충청북도 청주시 흥덕구 송절동 701,431134855164,충청북도 청주시 흥덕구 송화로150번길,4.31131340010701e+24,충청북도 청주시 흥덕구 송화로150번길 7-7,28292.0,1.0
MA0101202301A0028039,지에스25가경,서현점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43113,청주시 흥덕구,43113747,가경동,4311311300,가경동,4.3113113001181496e+18,1,대지,충청북도 청주시 흥덕구 가경동 1815,431134511582,충청북도 청주시 흥덕구 서현서로25번길,4.31131130011815e+24,충청북도 청주시 흥덕구 서현서로25번길 1,28383.0,1.0
MA0101202301A0095282,고망고청주,율량점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43114,청주시 청원구,43114550,오근장동,4311410500,주성동,4.3114105001035494e+18,1,대지,충청북도 청주시 청원구 주성동 355,431144844115,충청북도 청주시 청원구 주성로279번길,4.31111310010142e+24,충청북도 청주시 청원구 주성로279번길 27-7,28318.0,1.0
MA0101202302A0108449,꾸브라꼬숯불두마리치킨,용암점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43111,청주시 상당구,43111720,용암1동,4311112400,용암동,4.3111124001165906e+18,1,대지,충청북도 청주시 상당구 용암동 1659,431114508560,충청북도 청주시 상당구 월평로184번길,4.31111240011659e+24,충청북도 청주시 상당구 월평로184번길 127,28776.0,1.0
MA0101202302A0020648,권가제면소,오창점,I2,음식,I203,일식,I20303,일식 면 요리,I56111,한식 일반 음식점업,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425345,오창읍,4.31142534510798e+18,1,대지,충청북도 청주시 청원구 오창읍 양청리 798-7,431143240076,충청북도 청주시 청원구 오창읍 중심상업2로,4.37102534510798e+24,충청북도 청주시 청원구 오창읍 중심상업2로 9-24,28119.0,1.0
MA0101202301A0052173,세븐율량주성점,코리아,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4.3114103001212e+18,1,대지,충청북도 청주시 청원구 율량동 2120,431144844106,충청북도 청주시 청원구 율량로189번길,4.3111115001212e+24,충청북도 청주시 청원구 율량로189번길 15,28321.0,1.0
MA0101202302A0009439,아이스크림할인점,호암점,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47216,빵류; 과자류 및 당류 소매업,43,충청북도,43130,충주시,43130580,호암.직동,4313010700,호암동,4.3130107001010294e+18,1,대지,충청북도 충주시 호암동 103-12,431303238084,충청북도 충주시 호암중앙1로,4.31301070010103e+24,충청북도 충주시 호암중앙1로 8,27483.0,1.0
MA0101202302A0038504,한상가득보리밥,산남점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43112,청주시 서원구,43112550,산남동,4311210400,산남동,4.3112104001033103e+18,1,대지,충청북도 청주시 서원구 산남동 331-9,431123236001,충청북도 청주시 서원구 1순환로,4.31121040010331e+24,충청북도 청주시 서원구 1순환로 876,28640.0,1.0
MA0101202301A0057652,맛존호떡볶이,율량점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43114,청주시 청원구,43114550,오근장동,4311410600,주중동,4.31141060011008e+18,1,대지,충청북도 청주시 청원구 주중동 1008,431143349124,충청북도 청주시 청원구 율량로,4.31111320010175e+24,충청북도 청주시 청원구 율량로 58,28325.0,1.0
MA0101202306A0052346,서울녹각삼계탕,율량점,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4.3114103001231e+18,1,대지,충청북도 청주시 청원구 율량동 2310,431143349125,충청북도 청주시 청원구 율중로,4.3114103001231e+24,충청북도 청주시 청원구 율중로 20,28315.0,1.0
MA0101202306A0032942,봉명동내커피,증평점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43745,증평군,43745250,증평읍,4374525032,증평읍,4.37452503210882e+18,1,대지,충청북도 증평군 증평읍 송산리 882,437453244030,충청북도 증평군 증평읍 송산로,4.37452503210882e+24,충청북도 증평군 증평읍 송산로 141,27917.0,1.0
MA0101202306A0041253,제이디엑스충주,연수점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47419,기타 의복 소매업,43,충청북도,43130,충주시,43130625,칠금.금릉동,4313011600,칠금동,4.3130116001058094e+18,1,대지,충청북도 충주시 칠금동 581,431302238004,충청북도 충주시 번영대로,4.31301160010581e+24,충청북도 충주시 번영대로 48,27355.0,1.0
MA0101202306A0016070,인생집,금천점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43111,청주시 상당구,43111680,금천동,4311112000,금천동,4.311112000103e+18,1,대지,충청북도 청주시 상당구 금천동 300,431114508297,충청북도 청주시 상당구 산성로98번길,4.311112000103e+24,충청북도 청주시 상당구 산성로98번길 32,28744.0,1.0
MA0101202306A0026761,백로식당,하복대점,I2,음식,I201,한식,I20107,돼지고기 구이/찜,I56113,한식 육류 요리 전문점,43,충청북도,43113,청주시 흥덕구,43113741,복대1동,4311311400,복대동,4.31131140012835e+18,1,대지,충청북도 청주시 흥덕구 복대동 2835,431134511055,충청북도 청주시 흥덕구 2순환로1167번길,4.31131140012835e+24,충청북도 청주시 흥덕구 2순환로1167번길 4,28418.0,1.0
MA0101202306A0060673,정담손만두국수오송,봉산점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43113,청주시 흥덕구,43113250,오송읍,4311325031,오송읍,4.3113250311108705e+18,1,대지,충청북도 청주시 흥덕구 오송읍 봉산리 1087,431134520285,충청북도 청주시 흥덕구 오송읍 봉산2길,4.31132503111087e+24,충청북도 청주시 흥덕구 오송읍 봉산2길 20-11,28222.0,1.0
MA0101202306A0018953,하마김밥,전문점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43150,제천시,43150537,남현동,4315010300,동현동,4.3150103001022894e+18,1,대지,충청북도 제천시 동현동 229,431502014004,충청북도 제천시 의병대로,4.31501030010229e+24,충청북도 제천시 의병대로 150,27181.0,1.0
MA010120220811497705,교촌치킨,청주사천점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43114,청주시 청원구,43114540,율량.사천동,4311410300,율량동,4.3114103001156495e+18,1,대지,충청북도 청주시 청원구 율량동 1565,431143236023,충청북도 청주시 청원구 사뜸로,4.31111150011565e+24,충청북도 청주시 청원구 사뜸로 29,28347.0,1.0
MA010120220813132127,와이지컴퍼니나보나,스퀘어점,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47414,셔츠 및 블라우스 소매업,43,충청북도,43111,청주시 상당구,43111545,성안동,4311110700,문화동,4.3111107001009295e+18,1,대지,충청북도 청주시 상당구 문화동 93-1,431113236027,충청북도 청주시 상당구 상당로,4.31111070010093e+24,충청북도 청주시 상당구 상당로 66,28516.0,2.0
MA010120220810110096,위찜,오창점,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425332,오창읍,4.3114253321061294e+18,1,대지,충청북도 청주시 청원구 오창읍 주성리 613,431144571746,충청북도 청주시 청원구 오창읍 주성1길,4.31142533210613e+24,충청북도 청주시 청원구 오창읍 주성1길 18-1,28117.0,1.0
MA010120220812942873,김밥나라,옥산점,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,43,충청북도,43113,청주시 흥덕구,43113320,옥산면,4311332021,옥산면,4.31133202110211e+18,1,대지,충청북도 청주시 흥덕구 옥산면 오산리 211-7,431133237111,충청북도 청주시 흥덕구 옥산면 청주역로,4.37104102100211e+24,충청북도 청주시 흥덕구 옥산면 청주역로 661-2,28113.0,1.0
MA010120220814143057,짬뽕필란,전문점,I2,음식,I202,중식,I20201,중국집,I56121,중식 음식점업,43,충청북도,43112,청주시 서원구,43112550,산남동,4311210400,산남동,4.31121040010461e+18,1,대지,충청북도 청주시 서원구 산남동 461,431124511539,충청북도 청주시 서원구 산남로24번길,4.31131060010461e+24,충청북도 청주시 서원구 산남로24번길 24-2,28626.0,1.0
MA010120220805058538,살롱드도로시충주,연수점,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,43,충청북도,43130,충주시,43130630,연수동,4313011800,연수동,4.31301180011494e+18,1,대지,충청북도 충주시 연수동 1494,431302238001,충청북도 충주시 계명대로,4.31301180011494e+24,충청북도 충주시 계명대로 231,27352.0,2.0
MA010120220814037374,연촌염소탕,본점,I2,음식,I201,한식,I20199,기타 한식 음식점,I56111,한식 일반 음식점업,43,충청북도,43113,청주시 흥덕구,43113700,운천.신봉동,4311310500,신봉동,4.3113105001020897e+18,1,대지,충청북도 청주시 흥덕구 신봉동 209-1,431134511487,충청북도 청주시 흥덕구 사운로359번길,4.31131050010209e+24,충청북도 청주시 흥덕구 사운로359번길 24,28457.0,1.0
MA010120220800291120,세븐일레븐청원,오창점,G2,소매,G204,종합 소매,G20405,편의점,G47122,체인화 편의점,43,충청북도,43114,청주시 청원구,43114253,오창읍,4311425330,오창읍,4.31142533010322e+18,1,대지,충청북도 청주시 청원구 오창읍 장대리 322-2,431143240028,충청북도 청주시 청원구 오창읍 두릉유리로,4.37102533000322e+24,충청북도 청주시 청원구 오창읍 두릉유리로 1135,28129.0,1.0
MA010120220805681048,파리바게뜨충북혁신,1호점,I2,음식,I210,기타 간이,I21001,빵/도넛,I56191,제과점업,43,충청북도,43770,음성군,43770330,맹동면,4377033031,맹동면,4.37703303110488e+18,1,대지,충청북도 음성군 맹동면 동성리 488,437703247042,충청북도 음성군 맹동면 원중로,4.37703303110488e+24,충청북도 음성군 맹동면 원중로 1438,27738.0,1.0
MA010120220810294559,메가엠지씨커피청주옥산,자이점,I2,음식,I212,비알코올,I21201,카페,I56221,커피 전문점,43,충청북도,43113,청주시 흥덕구,43113320,옥산면,4311332025,옥산면,4.31133202510975e+18,1,대지,충청북도 청주시 흥덕구 옥산면 가락리 975,431133240054,충청북도 청주시 흥덕구 옥산면 오송가락로,4.31133202510975e+24,충청북도 청주시 흥덕구 옥산면 오송가락로 1065,28113.0,1.0
MA010120220806568800,티앤케이모바일성서,2호점,G2,소매,G208,가전·통신 소매,G20802,핸드폰 소매업,G47312,통신기기 소매업,43,충청북도,43130,충주시,43130515,성내.충인동,4313010300,성서동,4.31301030010224e+18,1,대지,충청북도 충주시 성서동 224,431304514804,충청북도 충주시 성서7길,4.31301030010224e+24,충청북도 충주시 성서7길 36,27387.0,1.0
MA010120220803868176,길가옆에누룽지삼계탕,청주대점,I2,음식,I201,한식,I20102,국/탕/찌개류,I56111,한식 일반 음식점업,43,충청북도,43114,청주시 청원구,43114520,내덕1동,4311410200,내덕동,4.3114102001022495e+18,1,대지,충청북도 청주시 청원구 내덕동 225-1,431143236056,충청북도 청주시 청원구 중앙로,4.31111140010225e+24,충청북도 청주시 청원구 중앙로 186-4,28489.0,1.0
MA010120220806321208,그린,골프연습장,R1,예술·스포츠,R103,스포츠 서비스,R10311,골프 연습장,R91136,골프 연습장 운영업,43,충청북도,43114,청주시 청원구,43114550,오근장동,4311410500,주성동,4.31141050010106e+18,1,대지,충청북도 청주시 청원구 주성동 106-1,431143014065,충청북도 청주시 청원구 2순환로,4.31111310010106e+24,충청북도 청주시 청원구 2순환로 176-30,28309.0,1.0
MA010120220809859867,안경나라,중문점,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,43,충청북도,43112,청주시 서원구,43112530,사창동,4311210200,사창동,4.3112102001025695e+18,1,대지,충청북도 청주시 서원구 사창동 257-6,431123236001,충청북도 청주시 서원구 1순환로,4.31131020010257e+24,충청북도 청주시 서원구 1순환로 663,28647.0,1.0
MA010120220806921472,알선생알탕,전문점,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,43,충청북도,43130,충주시,43130625,칠금.금릉동,4313012800,금릉동,4.3130128001079695e+18,1,대지,충청북도 충주시 금릉동 797,431304514165,충청북도 충주시 금제2길,4.31301280010797e+24,충청북도 충주시 금제2길 20,27340.0,1.0
MA010120220806787941,올리브영,증평점,G2,소매,G215,의약·화장품 소매,G21503,화장품 소매업,G47813,화장품; 비누 및 방향제 소매업,43,충청북도,43745,증평군,43745250,증평읍,4374525025,증평읍,4.37452502510074e+18,1,대지,충청북도 증평군 증평읍 신동리 74,437453244026,충청북도 증평군 증평읍 중앙로,4.37452502510074e+24,충청북도 증평군 증평읍 중앙로 184-1,27937.0,1.0
MA010120220811493067,두리메링게듀레봄,호암점,I2,음식,I204,서양식,I20401,경양식,I56123,서양식 음식점업,43,충청북도,43130,충주시,43130580,호암.직동,4313010700,호암동,4.3130107001068e+18,1,대지,충청북도 충주시 호암동 680,431302246001,충청북도 충주시 중원대로,4.3130107001068e+24,충청북도 충주시 중원대로 3250,27502.0,3.0
MA010120220805656343,해맑은안경2호점,연수점,G2,소매,G216,안경·정밀기기 소매,G21602,안경렌즈 소매업,G47822,안경 및 렌즈 소매업,43,충청북도,43130,충주시,43130630,연수동,4313011800,연수동,4.31301180011498e+18,1,대지,충청북도 충주시 연수동 1498,431302238001,충청북도 충주시 계명대로,4.31301180011499e+24,충청북도 충주시 계명대로 237,27352.0,1.0
MA010120220814088248,푸라닭청주,용암점,I2,음식,I210,기타 간이,I21006,치킨,I56193,치킨 전문점,43,충청북도,43111,청주시 상당구,43111720,용암1동,4311112400,용암동,4.3111124001215e+18,1,대지,충청북도 청주시 상당구 용암동 2150,431113236057,충청북도 청주시 상당구 중흥로,4.3111124001215e+24,충청북도 청주시 상당구 중흥로 119,28767.0,1.0
MA0101202301A0051346,정든밤,충북대점,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,43,충청북도,43112,청주시 서원구,43112530,사창동,4311210200,사창동,4.31121020010499e+18,1,대지,충청북도 청주시 서원구 사창동 499,431124511220,충청북도 청주시 서원구 내수동로114번길,4.31131020010499e+24,충청북도 청주시 서원구 내수동로114번길 36,28643.0,1.0
